世代,個体No,実値,適応度, 係数0, 係数1
603,83,1.038,10.378,-0.97,0.12
604,98,0.868,8.682,-0.17,-1.05
605,92,1.301,13.015,0.59,-0.60
606,11,1.863,18.635,-0.37,-0.04
607,87,1.249,12.486,-0.82,-0.27
608,10,1.877,18.771,-0.30,0.18
609,25,0.042,0.422,-0.10,-1.40
610,3,1.793,17.934,-0.17,-0.42
611,18,0.551,5.509,-1.18,0.22
612,89,1.956,19.557,-0.15,0.14
613,48,1.069,10.694,0.67,0.69
614,51,1.619,16.186,0.57,0.24
615,73,1.682,16.815,0.13,0.55
616,22,0.539,5.387,0.99,-0.70
617,17,1.377,13.766,-0.54,-0.57
618,23,1.823,18.225,0.41,-0.09
619,49,0.653,6.527,0.37,1.10
620,38,1.799,17.990,-0.25,-0.37
621,67,1.784,17.836,0.06,0.46
622,35,1.535,15.351,0.02,-0.68
623,65,1.828,18.284,-0.27,0.31
624,11,1.736,17.357,-0.14,0.49
625,68,1.905,19.054,0.20,-0.24
626,81,1.800,17.998,-0.33,0.30
627,7,1.473,14.730,-0.09,-0.72
628,43,1.648,16.483,-0.13,-0.58
629,42,1.629,16.293,-0.16,-0.59
630,47,1.205,12.048,-0.24,0.86
631,30,1.670,16.705,-0.55,0.17
632,66,-1.721,-17.215,1.79,-0.71
633,24,0.915,9.153,0.98,0.35
634,17,-1.176,-11.757,1.59,0.80
635,79,1.182,11.823,-0.38,-0.82
636,15,1.075,10.752,-0.54,-0.79
637,67,1.900,19.004,-0.30,-0.10
638,18,1.846,18.462,-0.30,0.25
639,42,1.793,17.934,-0.40,-0.22
640,45,1.534,15.336,-0.26,-0.63
641,8,1.614,16.137,0.38,-0.49
642,20,1.891,18.914,0.32,0.07
643,25,1.708,17.076,-0.47,-0.26
644,89,0.877,8.770,0.66,-0.83
645,17,1.251,12.508,0.13,0.86
646,95,1.927,19.265,0.26,-0.09
647,65,0.658,6.578,-1.10,-0.37
648,82,1.765,17.651,-0.23,0.42
649,93,0.335,3.347,0.36,-1.24
650,99,1.675,16.749,-0.35,-0.45
651,85,1.457,14.567,-0.73,-0.07
652,93,0.888,8.876,0.90,-0.55
653,1,1.337,13.374,-0.69,-0.43
